PR_ID,Repository,Author,Author_Team,Created_Date,Month,Status,Human_Comment_Count,Hours_to_Merge,Lead_Reviewer,Reviewer_Team,Reviewer_Response_Hours
1001,web-frontend,Bob,Team Alpha,2026-05-02,May 2026,Completed,8,85.55,Frank,Team Alpha,15.25
1002,infra-pipeline,Eve,Team Gamma,2026-05-11,May 2026,Active,3,N/A,Heidi,Team Beta,40.68
1003,infra-pipeline,Bob,Team Alpha,2026-05-02,May 2026,Active,12,N/A,N/A,N/A,N/A
1004,infra-pipeline,Alice,Team Alpha,2026-05-14,May 2026,Completed,5,64.27,Ivan,Team Beta,6.00
1005,infra-pipeline,David,Team Beta,2026-04-27,April 2026,Abandoned,8,N/A,Frank,Team Alpha,37.69
1006,infra-pipeline,Charlie,Team Beta,2026-05-20,May 2026,Active,2,N/A,Judy,Team Gamma,44.58
1007,infra-pipeline,Alice,Team Alpha,2026-05-06,May 2026,Active,11,N/A,Ivan,Team Beta,37.43
1008,core-api,Eve,Team Gamma,2026-05-18,May 2026,Active,2,N/A,Heidi,Team Beta,36.05
1009,web-frontend,Charlie,Team Beta,2026-04-01,April 2026,Active,7,N/A,Ivan,Team Beta,6.60
1010,core-api,Alice,Team Alpha,2026-04-29,April 2026,Completed,13,60.60,Heidi,Team Beta,5.59
1011,web-frontend,Charlie,Team Beta,2026-04-11,April 2026,Abandoned,2,N/A,Heidi,Team Beta,2.03
1012,infra-pipeline,Charlie,Team Beta,2026-04-07,April 2026,Abandoned,14,N/A,Frank,Team Alpha,45.80
1013,infra-pipeline,Eve,Team Gamma,2026-05-16,May 2026,Active,8,N/A,Ivan,Team Beta,25.67
1014,web-frontend,Charlie,Team Beta,2026-04-19,April 2026,Abandoned,12,N/A,Judy,Team Gamma,10.55
1015,infra-pipeline,David,Team Beta,2026-03-28,March 2026,Abandoned,14,N/A,Grace,Team Alpha,21.33
1016,web-frontend,Eve,Team Gamma,2026-05-16,May 2026,Active,4,N/A,Heidi,Team Beta,37.12
1017,core-api,Charlie,Team Beta,2026-04-12,April 2026,Completed,9,30.23,N/A,N/A,N/A
1018,core-api,Bob,Team Alpha,2026-04-26,April 2026,Abandoned,12,N/A,Heidi,Team Beta,40.03
1019,core-api,Bob,Team Alpha,2026-04-25,April 2026,Abandoned,4,N/A,Heidi,Team Beta,3.44
1020,infra-pipeline,Eve,Team Gamma,2026-04-20,April 2026,Completed,7,64.15,N/A,N/A,N/A
1021,infra-pipeline,Charlie,Team Beta,2026-04-01,April 2026,Active,15,N/A,Frank,Team Alpha,18.99
1022,core-api,Alice,Team Alpha,2026-05-19,May 2026,Active,7,N/A,Heidi,Team Beta,10.32
1023,infra-pipeline,Bob,Team Alpha,2026-03-26,March 2026,Completed,8,54.02,N/A,N/A,N/A
1024,infra-pipeline,Bob,Team Alpha,2026-05-05,May 2026,Active,8,N/A,Judy,Team Gamma,34.32
1025,infra-pipeline,David,Team Beta,2026-04-10,April 2026,Abandoned,2,N/A,Heidi,Team Beta,12.87
1026,core-api,Eve,Team Gamma,2026-03-31,March 2026,Completed,9,66.92,Judy,Team Gamma,6.04
1027,core-api,David,Team Beta,2026-04-03,April 2026,Completed,3,5.28,Frank,Team Alpha,39.93
1028,core-api,Eve,Team Gamma,2026-04-06,April 2026,Active,14,N/A,Frank,Team Alpha,18.61
1029,infra-pipeline,Bob,Team Alpha,2026-05-21,May 2026,Active,13,N/A,Ivan,Team Beta,19.57
1030,core-api,Charlie,Team Beta,2026-05-20,May 2026,Completed,7,97.82,Judy,Team Gamma,28.31
1031,infra-pipeline,Bob,Team Alpha,2026-03-29,March 2026,Abandoned,12,N/A,Frank,Team Alpha,10.47
1032,core-api,Bob,Team Alpha,2026-05-24,May 2026,Abandoned,1,N/A,Grace,Team Alpha,29.95
1033,core-api,Charlie,Team Beta,2026-03-27,March 2026,Active,12,N/A,Judy,Team Gamma,34.73
1034,core-api,David,Team Beta,2026-04-20,April 2026,Active,6,N/A,Grace,Team Alpha,17.83
1035,infra-pipeline,David,Team Beta,2026-04-02,April 2026,Completed,7,69.68,Ivan,Team Beta,14.96
1036,web-frontend,Eve,Team Gamma,2026-05-03,May 2026,Abandoned,11,N/A,Judy,Team Gamma,6.94
1037,web-frontend,Charlie,Team Beta,2026-05-05,May 2026,Active,12,N/A,Grace,Team Alpha,44.18
1038,infra-pipeline,Charlie,Team Beta,2026-04-21,April 2026,Abandoned,7,N/A,Heidi,Team Beta,45.52
1039,core-api,Charlie,Team Beta,2026-05-22,May 2026,Active,1,N/A,Grace,Team Alpha,7.22
1040,infra-pipeline,Bob,Team Alpha,2026-05-20,May 2026,Active,1,N/A,Frank,Team Alpha,6.68
1041,infra-pipeline,David,Team Beta,2026-03-29,March 2026,Active,1,N/A,Ivan,Team Beta,33.04
1042,web-frontend,David,Team Beta,2026-05-24,May 2026,Active,5,N/A,Grace,Team Alpha,3.55
1043,infra-pipeline,Eve,Team Gamma,2026-04-06,April 2026,Abandoned,7,N/A,Ivan,Team Beta,4.29
1044,core-api,Eve,Team Gamma,2026-05-14,May 2026,Active,3,N/A,Ivan,Team Beta,23.17
1045,infra-pipeline,Charlie,Team Beta,2026-04-29,April 2026,Completed,14,17.19,Grace,Team Alpha,24.86
1046,web-frontend,David,Team Beta,2026-04-30,May 2026,Completed,12,90.84,Grace,Team Alpha,43.21
1047,infra-pipeline,Bob,Team Alpha,2026-05-02,May 2026,Completed,6,79.62,Grace,Team Alpha,34.55
1048,web-frontend,Alice,Team Alpha,2026-03-26,March 2026,Completed,5,42.12,Frank,Team Alpha,28.75
1049,infra-pipeline,Eve,Team Gamma,2026-03-27,March 2026,Completed,8,81.72,Grace,Team Alpha,0.43
1050,core-api,David,Team Beta,2026-04-15,April 2026,Active,14,N/A,Frank,Team Alpha,38.43
1051,web-frontend,David,Team Beta,2026-04-17,April 2026,Completed,11,11.08,Ivan,Team Beta,12.16
1052,core-api,David,Team Beta,2026-04-26,April 2026,Completed,10,39.91,Frank,Team Alpha,9.24
1053,core-api,Charlie,Team Beta,2026-04-12,April 2026,Completed,10,52.70,Grace,Team Alpha,31.35
1054,core-api,Eve,Team Gamma,2026-05-06,May 2026,Completed,5,79.73,Judy,Team Gamma,8.14
1055,web-frontend,Eve,Team Gamma,2026-05-24,May 2026,Active,9,N/A,Frank,Team Alpha,43.95
1056,core-api,Charlie,Team Beta,2026-04-19,April 2026,Abandoned,0,N/A,Grace,Team Alpha,21.66
1057,web-frontend,Bob,Team Alpha,2026-04-02,April 2026,Completed,10,40.38,Heidi,Team Beta,8.77
1058,web-frontend,Eve,Team Gamma,2026-03-31,March 2026,Active,15,N/A,Heidi,Team Beta,33.22
1059,infra-pipeline,Eve,Team Gamma,2026-05-05,May 2026,Completed,14,0.14,Judy,Team Gamma,16.93
1060,web-frontend,Bob,Team Alpha,2026-04-25,April 2026,Active,14,N/A,Grace,Team Alpha,21.30
1061,infra-pipeline,Eve,Team Gamma,2026-05-05,May 2026,Active,13,N/A,Grace,Team Alpha,8.32
1062,core-api,Eve,Team Gamma,2026-04-20,April 2026,Abandoned,4,N/A,Heidi,Team Beta,41.61
1063,infra-pipeline,Eve,Team Gamma,2026-05-08,May 2026,Abandoned,9,N/A,Frank,Team Alpha,43.24
